Date,Price,Open,High,Low,Vol.,Change %
2019-10-24,17.35,17.78,18.08,16.37,-,-2.4
2019-10-25,16.17,17.38,17.4,16.17,-,-6.8
2019-10-28,16.81,16.17,17.39,16.17,-,3.9
2019-10-29,17.47,17.02,17.87,16.85,-,3.9
2019-10-30,16.71,17.47,18.13,16.36,-,-4.3
2019-10-31,17.36,17.16,18.23,17.16,-,3.8
2019-11-01,16.27,17.02,17.04,16.13,-,-6.2
2019-11-04,16.56,16.27,17.14,16.27,-,1.7
2019-11-05,17.08,16.81,17.12,16.63,-,3.1
2019-11-06,16.45,17.28,17.46,16.4,-,-3.6
2019-11-07,16.66,16.45,16.76,16.2,-,1.2
2019-11-08,16.17,16.76,17.35,16.11,-,-2.9
2019-11-11,16.04,16.92,16.98,15.93,-,-0.8
2019-11-12,15.86,16.14,16.4,15.74,-,-1.1
2019-11-13,16.24,16.49,16.69,15.99,-,2.4
2019-11-14,15.85,16.24,16.72,15.74,-,-2.4
2019-11-15,14.57,15.46,15.65,14.55,-,-8.0
2019-11-18,14.94,15.57,15.79,14.82,-,2.5
2019-11-19,15.25,14.94,15.49,14.82,-,2.0
2019-11-20,15.61,15.72,17.27,15.34,-,2.3
2019-11-21,16.07,15.61,16.69,15.61,-,2.9
2019-11-22,15.6,15.91,16.82,15.52,-,-2.9
2019-11-25,15.08,15.6,15.74,15.03,-,-3.3
2019-11-26,14.78,15.08,15.27,14.63,-,-1.9
2019-11-27,14.86,14.78,14.97,14.53,-,0.5
2019-11-29,15.84,15.62,15.93,15.55,-,6.5
2019-12-02,18.07,16.7,18.79,16.7,-,14.0
2019-12-03,19.16,18.07,21.18,18.07,-,6.0
2019-12-04,18.33,18.43,18.58,17.72,-,-4.3
2019-12-05,17.97,18.12,18.9,17.89,-,-1.9
2019-12-06,16.44,16.99,17.06,16.28,-,-8.5
2019-12-09,18.15,17.18,18.22,16.88,-,10.4
2019-12-10,18.02,18.15,18.75,17.6,-,-0.7
2019-12-11,17.41,17.99,18.23,17.38,-,-3.3
